state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"al",1972,57.39459,75.33291,10,0,53.46,1,0
"al",1980,59.25187,73.39728,10,0,59.65,1,0
"al",1984,63.53436,79.3617,10,0,69.8,1,0
"al",1988,59.21746,75.75988,10,0,67.95,1,0
"al",1992,66.02972,79.6719,10,0,70.36,1,0
"al",1996,59.84043,79.3196,10,0,79.06,1,0
"al",2000,66.40693,81.3913,10,0,79.15,1,0
"ak",1972,58.33333,75,30,0,80.13,0,1
"ak",1980,65.35836,76.31806,30,0,84.26,0,1
"ak",1984,65.87814,77.32852,30,0,84.85,0,1
"ak",1988,67.03383,77.92828,30,0,84.7,0,1
"ak",1992,75.88028,83.82484,30,0,88.44,0,1
"ak",1996,68.99313,86.35838,30,0,88.77,0,1
"ak",2000,81.60493,90.89776,30,0,91.16,0,1
"az",1972,58.9525,69.15545,50,0,66.51,0,1
"az",1980,58.96531,65.18387,50,0,76.2,0,1
"az",1984,59.60752,69.99175,50,0,82.24,0,1
"az",1988,60.1083,69.81651,50,0,82.78,0,1
"az",1992,71.20253,78.25619,29,0,83.13,0,1
"az",1996,58.10936,72.04503,29,0,82.24,0,1
"az",2000,57.13134,65.50325,29,0,81.9,0,1
"ar",1972,53.90156,71.35922,20,0,46.29,1,0
"ar",1980,60.53661,70.7317,20,0,59.2,1,0
"ar",1984,63.38983,73.72955,20,0,61.69,1,0
"ar",1988,58.19125,70.48689,20,0,68.12,1,0
"ar",1992,62.63566,71.22642,20,0,74.5,1,0
"ar",1996,55.97593,69.62576,30,0,76.76,1,0
"ar",2000,58.62069,71.09295,30,0,78.7,1,0
"ca",1972,72.78646,78.46264,30,0,71.94,0,1
"ca",1980,66.04254,74.035,29,0,76.21,0,1
"ca",1984,70.23517,77.89299,29,0,78.53,0,1
"ca",1988,66.51399,76.31579,29,0,78.21,0,1
"ca",1992,72.58372,79.58143,29,0,77.76,0,1
"ca",1996,67.60804,77.7905,29,0,79.34,0,1
"ca",2000,67.51717,76.92613,15,0,81.52,0,1
"co",1972,70.03329,77.65363,32,0,78.91,0,1
"co",1980,66.54888,72.93144,32,0,83.84,0,1
"co",1984,64.99657,72.09142,32,0,84.62,0,1
"co",1988,71.04762,79.03846,25,0,84.79,0,1
"co",1992,73.8326,80.69705,25,0,88.42,0,1
"co",1996,65.27304,77.62479,29,0,89.72,0,1
"co",2000,64.36119,76.78917,29,0,87.59,0,1
"ct",1972,76.36887,82.59928,24,0,66.87,0,1
"ct",1980,73.91608,79.88708,21,0,76.82,0,1
"ct",1984,70.68826,78.77049,21,0,78.53,0,1
"ct",1988,70.66381,81.72867,21,0,83.52,0,1
"ct",1992,79.57672,85.36325,14,0,83.41,0,1
