Abort_rank3,Abortion_rank12,Adv_or_more,BA_or_more,Cig_tax12,Cig_tax12_3,Conserv_advantage,Conserv_public,Dem_advantage,Govt_worker,Gun_rank11,Gun_rank3,Gun_scale11,HR_cons_rank11,HR_conserv11,HR_lib_rank11,HR_liberal11,HS_or_more,Obama2012,Obama_win12,Pop2000,Pop2010,Pop2010_hun_thou,Popchng0010,PopchngPct,Pot_policy,ProChoice,ProLife,Relig_Cath,Relig_Prot,Relig_high,Relig_low,Religiosity3,Romney2012,Smokers12,StateID,TO_0812,Uninsured_pct,abort_rate05,abort_rate08,abortlaw10,abortlaw2017,abortlaw3,alcohol,attend_pct,ba_or_more_2015,battle04,biz_tax_rank,biz_tax_score,black_legis_2015,blackpct_2016,blkleg,blkpct04,blkpct08,blkpct10,bush00,bush04,carfatal,carfatal07,cig_tax,cig_tax_3,cigarettes,citizen_ideology,clinton16,clinton16_ev,college,conpct_m,cons_hr06,cons_hr09,cook_index,cook_index3,corrections_incarc_rate,corrections_total_rate,crime_rate_burglary,crime_rate_murder,crime_rate_property,crime_rate_violent,deathpen_executions,deathpen_exonerations,defexpen,demHR11,dem_hr09,demnat06,dempct_m,demstate06,demstate09,demstate13,demstate_2017,density,division,drug_death_rate,earmarks_pcap,evm,evo,evo2012,evr2012,gay_policy,gay_policy2,gay_policy_con,gay_support,gay_support3,gb_win00,gb_win04,gini_2016,gini_rank_2016,gore00,gun_check,gun_dealer,gun_murder10,gun_rank2015,gun_rank_rev,gunlaw_rank,gunlaw_rank3_rev,gunlaw_scale,gunlaw_scale2015,hispanic04,hispanic08,hispanic10,hispanic_legis_2015,hispanicpct_2016,hs_or_more_2015,hs_yrs_ss,indpct_m,infant_mortality,judge_selection,kerry04,legalclimate,legalclimate_rank,legis_prof_rank,legis_prof_score,lgbtq_equality_laws,libpct_m,mccain08,medicaid_expansion,min_wage,modpct_m,nader00,obama08,obama_win08,obesity_percent,opioid_rx_rate,over64,over64_2016,permit,polarization_house,polarization_senate,policy_innovation_rate,pop2016,pop_18_24,pop_18_24_10,pot_policy2017,prcapinc,preg_teen_rate,preg_uninten_rate,prochoice_percent,region,relig_import,relig_import_2016,religiosity,reppct_m,rtw,schools_avg_salary,schools_spend,schools_st_ratio,secularism,secularism3,seniority_sen2,south,state,state_govt_rank,suicide_rate,term_limits,to_0004,to_0408,trnout00,trnout04,trump16,trump16_ev,unemploy,unemploy2016,uninsured_pct_2015,union04,union07,union10,union_2016,urban,vep00_turnout,vep04_turnout,vep08_turnout,vep12_turnout,vep14_turnout,vep16_turnout,volunteer_hrs_pc,volunteer_rate,voter_id_law,whitepct_2016,womleg_2007,womleg_2010,womleg_2011,womleg_2017
2,20,7.7,22,.425,1,36,44.7,-14.6,17.5,17,2,14,151.7142857,65.61904762,277.5714286,34.38095238,82.1,38.36,0,4447100,4779736,47.79736,332636,7.5,2,36,54.00,6.6,79.3,55.7,14.3,3,60.55,25.00,"AL",-2.9,18.8,11.9,12,8,7,2,2.01,52,24.2,0,32,4.91,24,26.8,25,26.4,26.4,26.8,56.48375535,62.46,24.9,25.9,.425,1,9.41,35.7853,34.36,0,21.1,40.6779661,77.71428571,72,-13.2,1,880,2210,819,5.7,3177.6,427.4,60,6,1757,14.28571429,42.85714286,22.22222222,38.87627696,60.71428571,57.85714286,35.71428571,29.3,94.4,6,15.7,38.9,9,0,0,9,4,1,1,44,1,1,1,.481,41,41.56650295,9024.68,47.3666328,2.8,2,30,19,2,15,-30,2.2,2.9,3.9,0,4,84.9,4,29.96594779,8.7,5,36.84,55.1,46,34,.175,3,16.82808717,60.32,0,0,42.49394673,1.099640395,38.74,0,35.6,121,13.2,15.68,27.6,1.382,1.762,.02692,48.633,10.00438789,10.0209205,3,27795,59,48,63,3,58.47953216,45,-13,31.15777526,1,48518,9663,15.9,13,1,0,1,"Alabama",42,14.7,0,4.2,4.6,50.59,54.79,62.08,9,5.8,5.9,10.1,9.7,9.5,10.9,8.1,55.4,51.6,57.2,61.8,58.9,33.2,59.3,30,23.37,3,68.5,12.9,12.9,13.6,15
3,35,9,26.6,2,3,21.3,43.1,-12.2,28,50,3,0,200,55.66666667,228,44.33333333,91.4,40.81,0,626932,710231,7.10231,83299,13.3,3,58,37.00,14.6,50,31.3,39.5,1,54.8,24.00,"AK",-9.4,21.8,13.6,12,5,5,1,3.02,22,29.7,0,3,7.29,0,3.5,2,3.6,4.3,4.7,58.62095532,61.07,17.4,15.2,2,3,6.22,60.2768,36.55,0,26.7,36.32478632,72,75,-13.4,1,730,1890,427.6,5.6,2760,635.8,0,0,3556,0,0,0,26.14107884,43.33333333,46.66666667,36.66666667,38.3,1.2,9,16,425.5,3,0,0,3,3,1,0,56,2,1,1,.432,2,27.66633982,12016.09,139.2504692,2.7,15,6,43,1,4,-18,4.9,6.1,5.5,3,7,92.6,3,43.56846473,6.1,1,35.52,68.1,12,8,.296,2,17.94871795,59.42,1,9.8,45.72649573,10.06688612,37.89,0,29.8,58.9,6.4,9.62,,1.31,1.55,.033038,7.41894,11.14457831,10.56338028,1,34454,59,54,37,4,,77,-177,30.29045643,0,67443,23005,13.8,177,3,1,0,"Alaska",41,22.2,0,-12.39,-.8,67.19,54.8,51.28,3,7.5,6.8,14.9,20.1,23.8,22.3,18.5,65.6,68.1,69.1,68.3,58.9,54.8,61.8,40.5,32.65,4,65.2,21.7,21.7,23.3,30
1,5,9.3,25.6,2,3,19.5,36,-3.5,15.5,50,3,0,155.5714286,62.5952381,269.8571429,37.4047619,84.2,44.45,0,5130632,6392017,63.92017,1261385,24.6,3,56,39.00,27.3,43.3,36.6,33.9,2,53.48,21.00,"AZ",-3.1,20.5,16,15.2,6,10,2,2.31,29,27.7,0,21,5.21,1,4.4,1,3.5,4.2,5,51.02113816,54.83,20.3,17.6,2,3,2.4,45.4442,45.13,0,24.3,33.33333333,69,49.5,-6.1,2,800,1980,647.1,4.7,3197.5,399.9,37,9,1771,28.57142857,62.5,20,31.93650794,44.44444444,41.11111111,41.11111111,42.2,56.3,8,19,20.9,10,0,0,11,3,1,0,58,2,1,1,.47,30,44.73458502,5313.86,45.44731342,3.6,6,13,36,1,6,-24,28,30.1,29.6,21,30.7,86.1,3,29.71428571,5.7,1,44.37,65.4,25,14,.264,2,19.23583663,53.39,1,10,47.43083004,2.979407526,44.91,0,28.4,70.2,12.7,16.4,46.2,2.729,2.428,.061116,69.3107,9.614413201,9.903003755,2,28442,56,49,38,4,33.2,70,-140,38.34920635,1,47218,8296,23.8,140,3,0,0,"Arizona",26,18.7,1,-2.32,1.9,44.64,42.32,48.67,11,5.1,5,10.8,6.3,8.8,6.5,4.5,88.2,45.6,54.1,56,52.9,34.1,56.2,33.7,23.28,2,77.4,34.4,31.1,34.4,40
1,4,6.1,18.9,1.15,2,26.7,45.2,-1.4,17.6,39,3,4,132.5,69.33333333,295.25,30.66666667,82.4,36.88,0,2673400,2915918,29.15918,242518,9.1,0,40,55.00,5.9,78.6,52.3,18.7,3,60.57,26.00,"AR",-2.9,21.9,8.3,8.7,9,10,3,1.83,50,21.8,0,38,4.6,11,15.8,11,15.8,15.8,16.1,51.3071977,54.31,25.6,23.7,.59,1,8.51,29.7749,33.65,0,19.1,38.87755102,56.25,28.5,-8.8,1,800,2450,835.7,5.6,3338,480.1,31,0,530,25,75,83.33333333,43.06358382,75.55555556,72.59259259,46.66666667,24.4,56,7,13.8,26.7,6,0,0,6,4,1,1,44,1,1,1,.477,35,45.86425626,8443.07,67.42302081,3.2,1,13,36,1,6,-39,4.4,5.6,6.4,0,7,85.4,3,35.9344894,7.6,4,44.55,57.7,41,24,.207,3,16.83673469,58.72,1,8.5,44.28571429,1.455985749,38.86,0,34.5,114.6,13.8,16.05,21.1,.964,.794,.042461,29.8825,10.07556675,9.739368999,2,25725,69,50,49,3,53.13432836,53,-23,21.00192678,1,48218,10385,15.3,23,1,0,1,"Arkansas",29,17.5,1,3.31,-.2,46.93,50.24,60.57,6,5.9,4,9.5,4.8,5.4,4.2,3.9,52.5,47.9,53.6,53.4,50.5,40.3,53.1,23.7,20.56,3,77.5,20.7,23,22.2,18.5
3,49,10.7,29.9,.87,2,6.3,30.8,14.9,14.9,1,1,81,274.2884615,54.78930818,152.4038462,81.02201258,80.6,60.19,1,33871648,37253956,372.53956,3382308,10,4,65,28.00,31.9,37.8,34.5,36.6,1,37.09,15.00,"CA",-6.5,23.2,27.1,27.6,4,3,1,2.33,33,32.3,0,48,3.76,9,5.8,5,6.8,6.7,7.2,41.65136766,44.36,12.1,11.7,.87,2,3.69,57.3584,61.73,55,29.1,28.46612466,37.33962264,35.09,7.4,3,510,1400,522.3,4.4,2441.1,396.1,13,3,1106,64.1509434,64.1509434,63.63636364,41.29714049,60.83333333,64.16666667,66.66666667,67.5,239.1,9,11.3,12.5,0,55,55,0,2,0,0,64,3,0,0,.488,47,53.44957111,3040.22,21.60307485,3.4,50,48,1,3,79,76,34.7,36.6,37.6,19,38.8,82.2,3,25.82884376,4.5,2,54.31,49.9,47,1,.629,132,24.20596206,36.91,1,10.5,47.32791328,3.818279211,60.94,1,24.2,44.8,10.7,13.26,52.8,3.081,3.174,.100244,392.5,9.952396767,10.53041284,1,35019,54,50,57,4,28.78619154,49,-147,32.87401575,0,77179,11777,22.5,147,3,0,0,"California",44,11.1,1,6.63,2.9,54.61,61.24,31.62,0,6.2,5.3,8.6,16.5,16.7,17.2,15.9,94.4,55.7,58.8,61.7,55.2,30.7,58.4,31.2,23.89,5,60.9,28.3,27.5,28.3,21.7
2,25,12.7,35.9,.84,2,15.7,36.9,-2.4,15.7,15,1,15,161.5714286,59.16666667,265.8571429,40.83333333,89.3,51.45,1,4301261,5029196,50.29196,727935,16.9,4,61,34.00,21.9,46.1,33.5,39.3,1,46.09,20.00,"CO",.5,17.1,16.1,15.7,4,2,1,2.68,29,39.2,1,16,5.38,3,4.1,4,4.1,4.3,5,50.75021477,51.71,17.3,12.3,.84,2,5.86,48.5148,48.16,9,34.7,32.3859881,63.42857143,30.29,-.2,2,580,2180,438.2,2.8,2530.1,309.1,1,0,1139,42.85714286,71.42857143,44.44,29.67781908,59,59,55,54,48.5,8,15.4,22.5,0,9,9,0,2,0,0,61,3,1,1,.458,19,42.39350901,8248.59,52.21510556,1.3,38,32,17,3,16,22,19.1,20.2,20.7,9,21.3,91.2,0,37.73234201,4.9,1,47.04,67.8,16,12,.268,20,21.67878387,44.71,1,9.3,45.93522802,5.25069945,53.66,1,20.2,59.8,9.8,13.04,46.3,2.928,2.893,.05807,55.4054,9.796355841,9.703718433,1,36063,47,42,59,4,26.08695652,47,-163,32.58983891,0,46155,11895,16.4,163,3,0,0,"Colorado",13,20.3,1,.82,3.1,57.55,58.37,43.25,0,5.4,3.2,8.1,8.4,8.7,7,9.8,84.5,57.5,66.7,69.8,70.3,54.7,72.1,34.7,29.32,4,84.4,35,37,41,38
3,45,15.5,35.6,3.4,3,1.8,27.4,17,15.9,5,1,58,338.2,20.7,91,79.3,88.6,58.06,1,3405565,3574097,35.74097,168532,4.9,4,68,26.00,41.5,32.1,30.5,40.4,1,40.72,18.00,"CT",-6.3,9.9,23.6,24.6,4,3,1,2.34,30,38.3,0,43,4.34,7,10.6,7,10.1,10.3,11.3,38.44360323,43.95,10.1,8.7,2,3,5.47,91.8518,54.57,7,34.6,27.27272727,31.2,1.6,7.1,3,440,1700,332.4,2.4,1920.4,236.9,1,0,2453,100,100,57.14285714,33.00970874,70.05347594,73.79679144,64.70588235,51.9,738.1,1,22.1,14.8,0,7,7,0,1,0,0,65,3,0,0,.492,49,55.90962813,6644.92,48.45979278,2.7,49,46,3,3,54,73,10.6,12,13.4,7,15.4,90.2,3,42.18887908,4.8,1,54.31,65.9,22,13,.267,15,22.17068646,38.22,1,10.1,50.55658627,4.415957246,60.59,1,25.3,55.9,13.5,15.74,45.3,1.269,1.446,.057836,35.7645,8.86039886,9.149412423,2,45398,38,46,67,1,35.02109705,43,-170,24.80141218,0,72013,21712,12.7,170,3,0,0,"Connecticut",20,10.1,0,4.47,2.2,60.86,65.33,40.93,0,4.9,4.7,6,15.3,15.6,17.3,17.5,87.7,61.9,65,67.2,60.9,42.5,65.4,28.5,28.23,4,76.5,28.3,31.6,29.9,27.8
2,30,11.4,28.7,1.6,2,6.3,32.3,15.9,16.1,18,2,13,273,35,156,65,87.4,58.61,1,783600,897934,8.97934,114334,14.6,3,63,31.00,25.6,52,35.2,33.7,2,39.98,21.00,"DE",-3.5,9.6,28.8,40,5,6,1,3.13,35,30.9,0,19,5.32,6,21.6,5,20.4,20.9,22.9,41.90438982,45.75,15,13.6,1.15,2,17.12,66.4166,53.09,3,27.6,30.15267176,52,56,7,3,700,2390,616.5,5.8,2982,489.1,16,1,690,100,0,66.66666667,37.94326241,50,64.51612903,64.51612903,58.1,460.8,5,22,25.7,0,3,3,0,3,1,0,60,2,0,0,.452,12,54.96212098,3421.63,36.7510307,4.2,42,38,11,3,22,41,5.8,6.8,8.2,3,9,88.9,3,36.87943262,6.5,1,53.35,76.5,1,27,.203,16,22.51908397,36.93,1,8.25,47.32824427,2.535544011,61.91,1,29.7,79.2,13.1,17,,1.16,.851,.059369,9.52065,9.952606635,10.13363029,2,35861,60,62,55,3,,52,-109,25.17730496,0,59960,17616,15.1,109,2,0,1,"Delaware",34,13.4,0,2.53,2,57.36,59.89,41.72,0,3.9,4.3,5.9,12.4,12,11.9,11.4,80.1,59,64.2,66.2,62.7,34.9,64.6,31.5,25.92,4,69.2,30.6,25.8,25.8,21
2,26,9,25.3,1.339,2,17.2,36.8,4.5,14.5,41,3,3,165.32,61.2,263.04,38.8,85.3,49.91,1,15982378,18801310,188.0131,2818932,17.6,1,58,36.00,25.4,51.2,37.6,30.7,2,49.03,21.00,"FL",-4,22.8,26.8,27.2,7,9,2,2.61,35,28.4,1,4,6.86,16,16.2,14,15.7,15.9,17,48.84682657,52.1,19.1,18.1,.339,1,6.71,44.9803,47.82,0,25.1,32.10124548,64.2,55.36,-1.8,2,750,1840,719.9,5.8,3415.5,540.5,93,27,938,24,40,29.63,37.4786081,34.375,36.25,37.5,35,350.6,5,16.2,14.6,0,27,29,0,4,1,1,57,2,1,1,.487,46,48.8378212,4437.56,37.39633036,3.8,9,13,36,1,6,-20.5,19,21,22.5,13,24.5,87.6,3,28.04715725,6.1,1,47.09,56,44,15,.245,4,20.59059863,48.1,0,8.1,47.30815589,1.634851613,50.91,1,26.8,66.6,16.8,19.46,37.8,1.746,1.557,.059859,206.124,8.707138842,9.254826871,2,31455,56,58,56,3,42.42021277,54,-84,34.47423465,1,49199,9321,16.1,84,2,0,1,"Florida",9,14.6,1,8.43,3.1,53.36,61.79,49.02,29,4.6,4.9,13.3,6,5.9,5.8,5.6,89.3,55.9,64.4,67.5,63.5,43.3,65.7,28.8,19.11,3,75.8,23.8,23.1,25.6,25
1,9,9.9,27.5,.37,1,25.8,41.8,-4.7,17.8,22,2,8,180.0769231,57.8974359,247.4615385,42.1025641,83.9,45.43,0,8186453,9687653,96.87653,1501200,18.3,0,52,43.00,10.6,70.3,47.9,20.3,3,53.24,21.00,"GA",-3,22.5,16.3,19.2,9,9,3,1.97,45,29.9,0,36,4.68,25,31.3,21,29.6,30,31.5,54.67181967,57.97,17.8,18.5,.37,1,8.22,42.223,45.64,0,25.7,38.11538462,69.61538462,57.62,-6.8,2,860,5260,756.9,5.7,3281.2,377.3,70,6,1037,38.46153846,46.15384615,40,38.33149577,40.6779661,41.10169492,33.05084746,33.9,168.4,5,12.7,14.8,15,0,0,16,4,1,1,51,1,1,1,.48,39,42.98476127,4805.70,37.35682936,3.9,16,16,33,2,7,-18,6.8,8,8.8,1,9.3,86.1,3,30.09922822,7.2,4,41.37,62.4,31,42,.149,3,17.61538462,52.1,0,5.15,44.26923077,.5172512057,46.9,0,30.7,77.8,9.6,12.75,27.8,1.744,1.843,.046823,103.104,9.941584922,10.01238646,3,30051,59,57,48,3,52.63908702,66,-39,31.569276,1,54190,9354,15.7,39,1,0,1,"Georgia",15,13.1,0,4.28,5.2,45.31,49.59,50.77,16,4.7,5.3,13.9,6.4,4.4,4.6,3.9,71.6,45.8,56.2,61.4,58.4,38.6,59.9,26,23,1,59.5,19.5,19.5,23.7,24.6
