ccode,dem_rank14,dem_score14,lifeex_f,lifeex_m,unmort_f,unmort_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,ungr9095,fertility,untfr95,govregrel,gri_08r,gfi2008,gfi_08r,msri2008,msri_08r,spendeduc,ciaedex,spendhealth,spendmil,unexp_rd,hdi,hdi05,hdi_rank_change,pop_age,sexratio,unsexr10,unsexr90,pop_total,unpop30,unpop90,pop_urban,urban03,urban06,unemrt08,unemrt91,unin_inc,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,confidence,dem_other,democ11,durable,effectiveness,dnpp_3,fhrate04_rev,fhrate08_rev,frac_eth,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,gdp08,gdp_10_thou,gdppcap08,gdppcap08_3,gini04,gini04_4,gini08,gini10,indy,polity,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,dem_economist,democyes,vdem_ldi_rank,vdem_ldi,vdem_edi,vdem_liberal_comp,vdem_equality_comp,vdem_partic_comp,vdem_delib_comp,coup_attempts,coups,frac_lang,frac_relig,educ_f_avgyrs,educ_m_avgyrs,educ_f_none,educ_m_none,democ_bin_bmr,rights_assn,rights_dommov,rights_formov,rights_injud,rights_relfree,rights_speech,rights_wecon,rights_wopol,rights_worker,dpi_cemo,dpi_pr,dpi_system,global_social,unco2_06,carbon_footprint,eco_footprint,liberty_index_eiu,envir_treaty,govt_help_cap,human_flight,rights_law_index,refugees_impact,democ_fh_polity,laws_protect_prop,bribe_judge,bribe_police,pol_terror_scale_ai,pol_terror_scale_hrw,indep_judiciary,const_age,govt_quality,media_access_cand,media_access_parties,press_freedom_fh,legal_quality,legal_origin,election_violence_pre,election_violence_post,ocean_health,election_integrity,gas_production,oil_production,press_freedom_rsf,corrupt_perception,conflict_internal,conflict_internat,human_develop,terror_index_voh,violence_cost,conflict_index,militarization,soldiers_percent,soldiers_total,energy_renew_percent,business_starts,debt_wdi,spendmil_wdi,immigrants_percent,migration_net,infant_mortality,refugees_in,refugees_from,self_employed,unemployed,hiv_percent,econ_compete,schools_internet,judicial_indep_wef,organized_crime,educ_quality,happiness,rights_treaties,icc_treaty_ratified,trade_percent_gdp,peace_index_rank,peace_index_score,internet_freedom,imprisonment_rate,homicide_rate,autoc,ciagdpag,ciagdpin,ciagdpsv,ciainfla,ciaingro,ciapop,ciapopgr,ciaunemp,decentralization,enpp_3,old06,old2003,pop03,pop08,poverty,unfempf,ungdp,ungdpcap,ungdpppp,unineduc,unjourn,unlit,unmobcov,unnewsp,unnoncom,unsathlt,unsati,unsatif,unsatjob,unsatliv,unseced,yng2003,young06,regionun,country,cabrv,dem_level4,i_gvtreg,i_gvtfav,i_socreg,religion,colony,decent08,dem_other5,democ,democ_regime,democ_regime08,district_size3,enpp3_democ,enpp3_democ08,eu,frac_eth2,frac_eth3,free_overall_4,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gender_equal3,hi_gdp,muslim,natcode,oecd,pmat12_3,pr_sys,protact3,regime_type3,vi_rel3,womyear2,death_penalty_status,internet_status,civil_war,democ08,pop08_3,popcat3,region,typerel,unname
4,151,2.77,45.25,44.79,398,543,28.1,0,42.3,55.3,2.4,7.3,5.39,8,10,10,9,9,10,10,,,1.8,1.9,,.349,.307,1,16.9,106,106,106.1,29.1,50.6,12.6,22.6,,23.28,55.2,54.1,,.797,134,1,45.02,,,10.5,,4,13.712,,2.5,3,.769,,,,,,,,,,,,30.6,,,,,,,29.4,1919,,,,,1.7,42,,,,,,,,27.7,,0,0,123,.233,.355,.528,.487,.296,.852,4,3,.614,.272,1.16,5.131,84.354,48.717,0,1,0,0,0,0,1,0,2,1,0,0,0,17.459,0,.18,.79,3.82,47,8.3,7.8,8.3,9.3,2.02,,.66,.535,4,5,0,0,,1,0,,.199,2,1,0,,2.333,1.053,0,37.36,8,0,2,.4639,8.99,52.1,3.658,2.425,4.142,330650,,.15,,1.061,.325,473007,69.9,16863,2556556,,9.2,,,,,,,3.572,10,1,55.92,162,3.567,,75,6.5,,31,26,43,13.3,,29835392,2.375,35,,,,,,27.4,36,,10.6,366,32,.199,0,,75,,1309,79,4.1,4.1,71,53,6.4,,,2,1,1,1,1,1,1,3,9,3,1,1,1,1,3,,,2,1,1,,,,2,2,2,,,2,1,1,,1,,1,,,4,,1,1,3,2,4,3,1
8,88,5.67,80.3,74.82,91,141,,5400,21.4,68.1,10.5,-1,1.48,2.8,0,0,.667,1,0,0,2.9,,2.9,2,,.719,.7,-1,30,107,107,108.2,3.2,3.4,3.3,51.9,44.239,46.14,48.9,48.9,.512,.545,61,3,77.41,59.3,49.336,63,9,3,35.461,1,5,8,.22,68,34,70,92.6,74.2,70,52.1,78.7,35,85.8,66,24.3,.154,7715,2,28.2,1,31.1,33,1991,9,0,,21329,23.9,18.5,476,12.2,59.56,85.26,6.4,16.4,15.7,15.7,1920,0,100,74,.477,.535,.88,.736,.577,.476,0,0,.04,.472,9.571,10.202,5.248,2.361,1,2,2,1,0,1,1,1,2,1,0,1,2,47.208,1.4,.87,2.21,7.35,66,5.5,6.9,5.5,3.4,8.08,4.67,,,2,2,0,1,.417,1,1,5.442,.483,3,,,56.45,6.421,.125,847009.4,30.88,31,0,1,.7322,.22,6.9,1.229,1.751,.66,8500,20.156,1.11,,1.399,3.059,-91750,13.3,93,10084,59.8,16,,3.846964,4.188,2.332,4.378,4.046,4.551,16,1,74.32,57,1.908,,189,5,0,18.9,23.5,57.6,3.6,3,2994667,.267,13.5,.74,1,8.479821,7.278363,3169064,3.1,12.5,,12.3,3911,22.9,.601,0,99,99,,752,75,4.6,,72,43,75.7,27.34834,26.35428,4,2,3,3,4,2,4,3,7,1,4,2,2,2,,1,1,2,2,2,3,2,3,2,3,2,,2,2,2,1,2,1,3,2,1,1,1,,3,1,2,2,3,3,2
12,117,3.83,76.31,72.78,119,144,69.9,2125000,24.2,70.6,5.2,2.2,1.75,4.1,8.611,9,9.333,9,10,10,4.3,4.3,3.6,3,.1,.677,.651,1,26.2,104.6,104.6,104.6,35.4,44.7,25.3,66.5,58.8302,63.94,39.2,39.2,,.594,70,4,74.5,25.7,52.056,40.8,3,5,32.624,3,2.5,3,.339,71.2,32,30,83.5,73.4,45,56.4,77.2,30,70.7,56.9,276,.179,8033,2,35.3,2,35.3,35.3,1962,2,0,,2633,11.9,,64,1.3,,71.43,,,,31.6,1962,0,0,132,.189,.379,.376,.7,.232,.613,4,2,.443,.009,5.312,6.711,36.671,17.288,0,0,1,1,1,0,0,1,2,0,0,1,0,36.79,4,1.14,2.12,4.41,82,6.1,5,7.4,6.7,4.25,4.795,.325,.401,3,2,0,1,.444,1,0,4.039,.342,2,1,0,52.73,3.75,1184.107,7.28e+07,36.54,36,1,0,.7336,5.39,10.6,2.089,2.176,2.624,317200,.115,.58,,4.962,.672,-143268,22.1,94150,3662,31,9.8,.1,3.793698,2.171,3.214,3.799,2.669,6.355,11,0,58.12,109,2.201,,155,.7,1,8.3,13.4,30.2,5,4.8,34994937,1.173,9.9,,3,4.578136,4.045199,3.18e+07,34.4,23,.76,166.5,4845,276,,0,72.6,82,,565,87,5.6,5.9,66,61,25.9,33.91887,28.94154,1,3,43,1,1,1,1,3,2,2,3,1,1,1,1,,,2,2,3,4,2,3,1,3,1,,2,2,3,1,,2,,1,3,2,3,,2,1,3,2,1,3,3
24,133,3.35,39.83,37.74,383,460,67.4,1948000,43.2,54.1,2.7,3.2,5.97,7.1,.556,1,0,0,6,6,2.6,2.6,2,3,,.403,.376,2,17.4,99.9,99.9,99.7,19,30.4,10.7,58.5,36.1806,53.96,76.4,76.5,.334,,,7,38.76,20.3,,40.8,2,3,19.149,1,2.5,3,.787,43.4,19,40,85.1,62.8,35,45.2,62.6,20,70.4,48.4,106.3,.086,5899,2,,,,58.6,1975,-2,0,,3567,3.1,,5,.1,,88.28,,,,34.1,1975,0,0,135,.173,.317,.4,.248,.191,.36,1,0,.787,.628,,,,,0,0,1,0,0,1,1,1,3,0,0,1,0,22.49,.6,.2,.93,3.24,39,5.4,6,7,7.5,3.25,3.207,,,4,3,0,1,.347,1,1,2.987,.343,2,0,,51.67,,70.951,9.12e+07,37.8,23,,,.5297,.69,9.5,1.504,1.788,1.371,117000,2.397,,,4.4,.308,102322,101.4,23783,10297,,6.9,2.1,3.147254,2.636,2.441,3.939,2.235,3.937,10,0,65.7,100,2.116,60,96,10,4,9.6,65.8,24.6,13.3,5,13338541,2.034,,,1,2.450294,2.930542,1.35e+07,18,40.5,,84.9,4714,104.8,.207,0,69.6,40,2,1071,67,4.3,4.2,72,54,,47.62524,46.32196,1,4,2,1,2,4,3,2,6,3,3,1,1,1,,,,2,1,1,2,2,3,1,3,1,,2,1,4,1,,2,,1,,2,1,2,3,2,3,2,1,6,4
32,52,6.84,80.36,73.71,86,160,97.2,796300,25.4,63.6,11,1.4,2.31,2.9,0,0,9.333,9,.667,1,4.9,4.9,5.1,.8,.5,.775,.749,4,30.4,103.6,103.6,103.4,40.7,47.3,32.5,92.4,88.6312,90.26,53,53,.46,.534,60,11,76.95,50.3,7.299,87.5,8,17,34.988,1,6,10,.255,62.1,29,30,69.5,75.6,45,50.1,61.2,20,69.5,51.2,571.5,.28,14333,3,52.2,4,51.3,48.8,1816,8,1,25.4,331,28.1,,17,.2,70.88,79.69,33.7,41.6,37.4,37.4,1947,1,100,41,.636,.76,.823,.718,.599,.752,20,7,.062,.224,9.483,9.467,1.417,.787,1,2,2,2,1,2,1,2,3,1,0,1,0,52.415,4.4,1.08,3.14,7.94,114,4.3,2.7,4.4,2.3,8.67,3.991,.064,.158,3,2,0,0,.472,0,1,5.208,.469,2,0,0,67.08,7.938,283.806,2.69e+07,25.67,34,,,.8328,2.36,6.4,1.403,1.572,.548,105650,5.256,.43,,.823,3.516,30000,11.9,3362,388,24.7,7.1,.4,3.762859,4.035,2.376,4.387,3.198,6.582,18,1,26.11,55,1.088,73,167,5.5,0,8.5,31.6,59.8,22,8.9,41769726,1.017,7.9,2.4,1,10.25523,9.793625,3.68e+07,39.9,30,1.06,328.5,8236,570.4,.672,0,97.7,94,36,515,87,7.1,7.1,83,70,44.6,27.02631,26.11798,6,5,5,4,4,1,2,2,8,,5,2,2,2,1,1,1,2,2,2,2,1,3,1,1,1,1,1,1,5,1,1,2,3,3,1,2,1,3,3,1,3,1,6,6,5
51,113,4.13,77.31,69.59,101,240,99.4,0,17.6,72.4,10.1,-1.9,1.37,2.4,6.944,7,3.4,3,9,9,3,3,2.1,3.3,.2,.695,.669,0,32,116.5,116.5,103.2,3.1,3.2,3.5,64.2,67.4652,64.02,38,38,.483,.57,66,12,73.23,,27.133,63,5,2,36.643,3,3.5,4,.127,83.4,29,70,89.3,90.9,75,70.6,72.9,30,80.5,69.2,18.7,.077,6070,2,37.9,2,33.8,30.2,1991,5,0,,378,6.2,50.9,345,8.9,,53.32,5.3,8.4,10.7,10.7,1921,0,100,122,.234,.394,.483,.711,.444,.615,0,0,.129,.458,10.838,10.884,.545,.242,0,1,1,1,0,0,1,1,2,1,0,1,0,44.225,1.5,.89,2.23,5.88,46,5.8,5.7,6.8,6.7,5.83,5.613,.178,.211,3,3,0,1,.333,1,1,,.449,,0,1,,4.143,0,0,28.04,36,0,1,.7309,.34,8.7,2.298,1.955,3.196,49100,27.008,1.52,,3.997,10.939,-9876,13.8,13732,12021,42.8,16.2,.2,4.102263,4.045,2.951,5.376,3.662,4.277,13,0,76.45,112,2.022,70,162,1.8,0,22,46.6,31.4,6.9,8,2967975,.063,7.1,,3,12.10053,10.1563,3055630,3.1,26.5,,11.9,3873,18.7,.675,0,99.5,88,8,1064,53,5,5.1,61,31,91.1,20.52383,19.95387,2,6,6,3,1,2,1,5,7,1,4,2,2,2,,3,3,2,2,2,1,2,2,2,3,2,,2,1,6,1,2,1,1,,1,1,1,3,3,1,2,2,3,4,6
36,9,9.01,84.35,79.4,46,81,99,589200,18.3,67.7,14,1.2,1.78,1.9,0,0,2,2,4,4,4.7,4.7,6,1.8,2.2,.937,.925,0,37.8,105.3,105.3,105.2,21.5,25.7,17.1,89.1,91.8942,88.38,59.4,55.6,.702,.296,18,14,81.81,22.4,46.839,58.3,10,99,90.071,1,7,12,.093,90.3,87,90,61.4,64.9,80,94.9,82.7,90,85.1,82.6,762.6,2.082,35677,3,35.2,2,35.2,35.2,1901,10,1,28.6,66,70.8,,220,.5,82.74,81.36,24.7,26.7,24.7,24.7,1902,1,100,7,.841,.887,.956,.843,.672,.93,0,0,.335,.821,11.813,11.601,.871,.682,1,2,2,2,2,2,2,3,2,2,0,1,2,83.433,18.1,4.85,9.31,10,139,2.4,.9,2.3,2.4,10,7.875,.039,.018,2,1,1,1,.889,0,0,,.885,1,0,0,80.44,8.813,407.032,1.68e+07,15.24,81,0,1,.9334,.22,4.9,1.076,1.646,.463,56750,2.176,14.91,40.41,1.687,21.385,1023107,3.4,34503,28,10.4,5.7,.2,5.092346,5.95,5.741,5.929,4.782,7.364,13,1,39.95,12,1.425,79,168,1.1,0,4,24.8,71.2,2.9,3,21766711,1.148,5.1,1.74,1,12.84444,12.49083,1.99e+07,21,,1.05,1015.2,47370,831.2,.982,0,,99,155,355,82,7.9,8,91,85,73.4,19.97719,19.3149,3,7,7,2,4,2,3,2,9,2,4,2,2,2,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,7,2,1,1,1,2,1,1,1,3,3,1,3,2,2,5,7
40,14,8.54,82.84,76.87,50,99,98,21880,14,67.7,18.2,.7,1.4,1.5,1.389,1,5.6,6,9.333,9,5.4,5.4,7.7,.9,2.5,.851,.841,-1,41.8,105.4,105.4,105.3,8.4,8.6,7.7,67.6,67.775,66.12,54.5,51.8,.709,.3,19,15,79.78,70.4,49.68,100,10,54,88.889,2,7,12,.107,73.6,81,70,51.2,28.8,75,79.1,79.3,90,87.5,71.6,318.4,2.536,38152,3,30,1,29.1,29.1,1156,10,1,36.6,120,71.2,,389,.8,75.61,75.48,33.9,27.9,27.9,27.9,1918,1,100,26,.742,.813,.919,.873,.699,.911,0,0,.152,.415,8.995,10.862,1.327,1.633,1,2,2,2,2,2,1,3,3,1,0,1,2,91.297,8.6,4.14,6.06,9.41,156,2.2,1.8,2,2.3,10,8.003,.036,.032,1,1,1,1,.917,0,0,8.597,.861,4,0,0,,8.933,9.031,804713.3,9.4,69,0,1,.8842,1.68,2.7,1.035,1.375,.508,22500,12.457,.73,78.499,.753,15.666,147089,3.2,55598,10,13.2,4.9,.4,5.150925,5.72,5.103,6.453,4.752,7.499,15,1,100.67,4,1.265,,94,.9,0,1.5,29.4,69.1,1.9,7,8217280,.034,4.5,1.81,2,17.03215,16.02893,8090000,8.3,6,1.01,413.5,49599,316.1,.753,0,,99,311,409,85,7.8,7.8,91,86,70.1,16.16753,15.21968,4,8,8,2,2,3,1,2,4,,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,8,2,1,2,3,2,1,1,1,,3,1,1,2,8,6,8
31,148,2.83,72.01,63.2,138,228,98.8,1011000,23.2,70.3,6.4,1.5,2.02,2.9,7.222,7,1.333,1,9.333,9,1.9,2.8,1,3.8,.2,.713,.655,16,28.4,115.6,115.6,106.5,8.9,10.3,7.2,51.9,51.897,51.58,56.5,56.5,.586,.553,62,16,67.36,4.6,54.168,63,0,5,23.877,1,2.5,3,.205,74.6,19,40,79.5,77.5,55,82.5,62.7,20,77.1,58.8,76.1,.075,8765,2,36.5,2,36.5,,1991,-7,0,75.4,20206,28.2,49.6,179,3.4,,79.18,,,,16,1921,0,0,167,.057,.213,.121,.311,.128,.094,2,0,.205,.49,,,,,0,0,1,1,0,0,1,1,2,0,0,0,0,51.439,4.2,1.25,2.31,4.71,34,4.4,4.7,7.7,7.6,1.58,5.941,.448,.58,3,3,0,1,.361,1,1,1,.394,,0,0,,2.9,193.294,4.34e+07,47.73,28,0,1,.7489,.13,22.8,2.321,2.027,1.69,81950,1.144,.99,6.386,4.68,2.915,-16125,30,1380,10813,66.5,5,.1,4.513738,4.193,3.282,5.624,3.074,5.481,15,0,90.12,132,2.426,43,239,2.1,7,5.5,61.4,33.1,5.1,3.5,8372373,.846,.9,1.19,1,7.177077,7.49049,8233000,8.7,11,.57,46.1,5315,76.1,.646,6,99.5,99,,856,68,5.3,5.2,73,42,92.8,27.00255,24.82046,2,9,9,1,1,2,1,3,7,2,4,1,1,1,,,,2,2,2,4,2,2,1,3,1,,2,2,9,1,2,1,2,1,1,1,1,2,3,1,1,2,3,3,9
48,147,2.87,80.33,76.03,82,116,86.5,48560,20.5,77,2.6,3.2,1.88,3.4,3.889,4,6,6,4.667,5,2.9,2.9,2.6,3,,.801,.793,-1,28.1,105.2,105.2,107.5,.8,1.1,.5,88.6,93.0222,96.72,61,61,,.512,55,18,78.15,59.2,,10.5,0,25,65.012,,3,4,.502,77.8,54,80,99.9,80.8,65,89.4,73.4,60,82.9,76.3,26.9,1.101,34605,3,,,,,1971,-8,0,,907,51.9,,,,,,,,,10,1973,0,0,,,,,,,,0,0,.434,.553,6.805,6.476,36.13,28.778,0,0,1,2,1,0,0,0,2,0,0,0,0,71.089,28.8,6.19,7.49,2.35,48,3.5,3.3,7.8,2.9,.83,6.28,,,3,3,0,0,.583,,,,.593,1,1,1,59.94,2.5,126.993,2390400,62.75,48,0,1,.8213,4.67,10.2,2.091,2.091,2.595,19460,0,,35.605,4.096,25.006,29915,5.9,294,275,3.8,3.7,,4.454309,4.971,4.515,6.166,4.116,6.69,9,0,156.24,131,2.404,29,301,.5,8,1,79,20,3.3,1.5,1214705,2,15,,,3.050511,2.524943,711661.8,.8,,,21.9,28240,27,,0,90.8,100,,678,86,,,,66,48.1,27.16081,26.64922,2,10,16,1,3,3,3,3,9,2,1,1,1,1,3,,,2,1,3,1,1,1,1,1,1,2,1,2,10,1,,1,,1,,2,4,1,3,2,2,3,4,3,10
